Iteration 89, Best Cost: 7421, Hard Conflicts: 0, Soft Conflicts: 7421, Time: 5.48s
Iteration 90, Best Cost: 7421, Hard Conflicts: 0, Soft Conflicts: 7421, Time: 5.53s
Iteration 91, Best Cost: 7421, Hard Conflicts: 0, Soft Conflicts: 7421, Time: 5.58s
Iteration 92, Best Cost: 7384, Hard Conflicts: 0, Soft Conflicts: 7384, Time: 5.65s
Iteration 93, Best Cost: 7384, Hard Conflicts: 0, Soft Conflicts: 7384, Time: 5.71s
Iteration 94, Best Cost: 7384, Hard Conflicts: 0, Soft Conflicts: 7384, Time: 5.76s
Iteration 95, Best Cost: 7384, Hard Conflicts: 0, Soft Conflicts: 7384, Time: 5.82s
Iteration 96, Best Cost: 7384, Hard Conflicts: 0, Soft Conflicts: 7384, Time: 5.88s
Iteration 97, Best Cost: 7384, Hard Conflicts: 0, Soft Conflicts: 7384, Time: 5.94s
Iteration 98, Best Cost: 7352, Hard Conflicts: 0, Soft Conflicts: 7352, Time: 5.99s
Iteration 99, Best Cost: 7352, Hard Conflicts: 0, Soft Conflicts: 7352, Time: 6.05s
Iteration 100, Best Cost: 7352, Hard Conflicts: 0, Soft Conflicts: 7352, Time: 6.12s
Iteration 101, Best Cost: 7122, Hard Conflicts: 0, Soft Conflicts: 7122, Time: 6.17s
Iteration 102, Best Cost: 7122, Hard Conflicts: 0, Soft Conflicts: 7122, Time: 6.24s
Iteration 103, Best Cost: 7122, Hard Conflicts: 0, Soft Conflicts: 7122, Time: 6.30s
Iteration 104, Best Cost: 7122, Hard Conflicts: 0, Soft Conflicts: 7122, Time: 6.35s
Iteration 105, Best Cost: 6948, Hard Conflicts: 0, Soft Conflicts: 6948, Time: 6.42s
Iteration 106, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 6.47s
Iteration 107, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 6.52s
Iteration 108, Best Cost: 6758, Hard Conflicts: 0, Soft Conflicts: 6758, Time: 6.59s
