Iter=1375, currentCost=114715, Hard Conflicts: 11, Soft Conflicts: 4726, Best Cost: 114715, Time: 2.12s
Iter=1382, currentCost=114649, Hard Conflicts: 11, Soft Conflicts: 4660, Best Cost: 114649, Time: 2.12s
Iter=1440, currentCost=4998, Hard Conflicts: 0, Soft Conflicts: 4998, Best Cost: 4998, Time: 2.21s
Iter=1470, currentCost=4974, Hard Conflicts: 0, Soft Conflicts: 4974, Best Cost: 4974, Time: 2.27s
Iter=1486, currentCost=4681, Hard Conflicts: 0, Soft Conflicts: 4681, Best Cost: 4681, Time: 2.29s
Iter=1503, currentCost=4675, Hard Conflicts: 0, Soft Conflicts: 4675, Best Cost: 4675, Time: 2.32s
Iter=1507, currentCost=4433, Hard Conflicts: 0, Soft Conflicts: 4433, Best Cost: 4433, Time: 2.33s
Iter=1633, currentCost=4402, Hard Conflicts: 0, Soft Conflicts: 4402, Best Cost: 4402, Time: 2.54s
Iter=1663, currentCost=4391, Hard Conflicts: 0, Soft Conflicts: 4391, Best Cost: 4391, Time: 2.58s
Iter=1719, currentCost=4356, Hard Conflicts: 0, Soft Conflicts: 4356, Best Cost: 4356, Time: 2.66s
Iter=1764, currentCost=4235, Hard Conflicts: 0, Soft Conflicts: 4235, Best Cost: 4235, Time: 2.73s
Iter=1779, currentCost=4229, Hard Conflicts: 0, Soft Conflicts: 4229, Best Cost: 4229, Time: 2.75s
Iter=1847, currentCost=4211, Hard Conflicts: 0, Soft Conflicts: 4211, Best Cost: 4211, Time: 2.85s
Iter=2068, currentCost=3650, Hard Conflicts: 0, Soft Conflicts: 3650, Best Cost: 3650, Time: 3.18s
Iter=2427, currentCost=3639, Hard Conflicts: 0, Soft Conflicts: 3639, Best Cost: 3639, Time: 3.72s
Iter=2466, currentCost=3597, Hard Conflicts: 0, Soft Conflicts: 3597, Best Cost: 3597, Time: 3.77s
Iter=2568, currentCost=3498, Hard Conflicts: 0, Soft Conflicts: 3498, Best Cost: 3498, Time: 3.93s
